business_partner_name,current_km_reading,invoice_date,invoice_line_text,job_card_date,part_description,quantity,unit_price,total_amount,purchase_date
Phil Kuhlman,47849,2025-02-25T05:07:35.822Z,Justin Keebler,2025-02-28T03:14:53.005Z,Sharon Sporer,7,1567.7830140222795,17808.637360238936,2024-10-26T08:22:35.872Z
Bobbie Rath,44228,2024-08-24T22:53:23.555Z,Virginia Ryan Jr.,2024-11-04T22:26:59.699Z,Agnes Crist,3,736.97943626903,5925.116505811457,2025-01-21T12:06:13.912Z
Janis Ledner-Walsh,54537,2025-02-26T05:25:18.978Z,Bernice VonRueden,2025-03-10T17:20:00.835Z,Lena Rowe,4,1081.0377201647498,3001.9649171852507,2024-10-11T15:12:02.279Z
Bridget Bauch II,64523,2024-08-26T07:42:46.245Z,Gregg Lueilwitz,2024-09-12T16:31:12.435Z,Miss Christine McCullough,3,1709.1942225699313,13516.195227426942,2024-10-08T15:09:42.397Z
Dr. Karen Ryan Sr.,54309,2024-05-24T09:31:00.887Z,Blanche Lockman,2024-05-11T15:52:51.806Z,Ms. Angela Roob,8,1491.9998444034718,17414.416877448093,2025-02-13T11:49:57.916Z
Alfredo Morar,76601,2024-05-13T07:21:03.431Z,Steve Johns,2024-08-24T21:30:20.161Z,Ross Schuppe,3,1163.0243773572147,4873.602339520585,2024-04-01T12:25:48.476Z
Wm Nader,56408,2025-03-21T21:15:42.803Z,Karl Bahringer,2024-10-27T01:42:09.986Z,Cary Hansen,6,1005.5964446743019,4005.720876995474,2024-06-16T00:08:22.460Z
Dr. Eugene Jenkins,69474,2024-09-29T07:02:36.289Z,Alfredo Bechtelar II,2024-06-23T07:07:54.771Z,Anita Schulist,2,886.5122464485466,15204.378312896006,2025-03-10T05:54:25.934Z
Melba Jenkins,72562,2024-06-22T06:02:33.081Z,Brett Klocko,2025-03-01T12:27:46.455Z,Ms. Beulah Bernier-Hickle,9,1590.2696422534063,3894.7040971252136,2024-07-17T01:52:29.375Z
Elmer Wyman,71951,2024-08-10T20:43:32.091Z,Gail Marvin,2025-01-19T06:13:33.780Z,Lula Rath,10,1122.6606749580242,11454.421732691117,2024-04-25T21:15:04.489Z
Dr. Jeanette Prosacco,50385,2024-11-12T14:40:43.997Z,Kelvin Kemmer,2025-02-03T01:11:43.720Z,Jay Stokes,9,1584.1526599717326,4349.828255025204,2024-12-07T23:46:19.242Z
Kenny Treutel,15114,2024-10-29T03:02:25.045Z,Kyle Boyer,2025-01-18T17:44:08.148Z,Jack Hudson,9,1855.5246007745154,11761.811745644081,2024-11-14T20:52:29.407Z
Wendy Orn,41113,2024-04-23T19:11:48.953Z,Kristi Crooks,2024-05-02T01:54:08.843Z,Christopher Schmidt MD,9,1305.9704391867854,9090.712424670346,2024-11-06T20:30:22.803Z
Mrs. Karen Kub,62942,2025-01-13T07:27:14.606Z,Dr. Dixie Langosh,2024-08-24T06:23:20.935Z,Darla Carroll,5,471.1746098822914,7926.747687335592,2024-06-19T17:53:04.646Z
Elias Steuber,61541,2024-04-28T03:26:49.290Z,Charles Hahn,2024-07-23T09:00:54.016Z,Marion Collins,3,1337.0310348109342,10031.730010721367,2024-08-22T13:42:35.643Z
Louis Schroeder,31434,2024-11-26T04:53:14.385Z,Ismael Purdy,2024-07-26T11:39:25.484Z,Faith Oberbrunner,8,937.074835691601,12359.745463810395,2024-08-31T11:23:14.269Z
Fred Orn,28544,2025-03-01T05:32:45.098Z,Tracy Wyman,2024-11-15T07:15:19.065Z,Traci Stokes,1,1526.3125635567121,1346.6892473050393,2024-06-05T20:22:59.059Z
Ms. Beatrice Schowalter,41476,2024-11-23T10:18:26.060Z,Derrick Farrell,2024-06-26T06:35:57.604Z,Christina Casper PhD,3,1070.5142282648012,3750.017875537742,2024-12-03T06:47:30.008Z
Raymond Goyette,1839,2025-01-11T07:29:59.367Z,Hattie Doyle,2024-10-03T22:59:48.326Z,Jill Hand,1,717.5488753942773,15515.982332103886,2025-01-23T12:38:16.912Z
Eugene Orn,2333,2024-06-17T00:02:40.307Z,Kristopher Hintz,2024-09-20T09:19:53.370Z,Lowell Daniel-Kuhic,4,1097.4970150389709,18919.0003545722,2024-10-03T16:43:31.404Z
Dr. Antonia Rohan,37652,2024-11-19T04:43:16.279Z,Leo Pacocha DVM,2024-06-08T02:55:12.487Z,Gina Barrows,2,1166.402677516453,10284.063229465391,2024-05-18T14:46:29.897Z
Amos Volkman DVM,7694,2024-05-24T22:02:14.289Z,Edmond Schiller-Torp,2024-12-11T10:44:54.817Z,Troy Pacocha,1,1576.7025022534654,17304.23691238975,2024-04-30T02:28:38.945Z
Cameron Grady,80842,2024-06-24T13:04:37.887Z,Alicia Koch,2025-02-14T21:50:36.182Z,Mae Lowe,8,1722.0168500789441,248.7379043828696,2024-07-07T05:56:22.088Z
Vickie Kihn,47442,2024-08-07T12:55:09.635Z,George Ledner,2024-05-29T02:35:10.422Z,Ellen Streich MD,2,1830.8289271662943,4720.442310650833,2025-01-09T11:27:56.724Z
Mattie Wilkinson,49649,2024-07-25T13:35:18.635Z,Christine Stehr,2024-12-27T00:15:31.637Z,Neil Wunsch,7,782.3866139398888,13109.16224148823,2024-12-04T11:26:49.923Z
Leah Lockman,61212,2024-11-02T18:59:35.790Z,Bethany Koch IV,2025-01-31T15:51:04.277Z,Jimmie Ondricka,1,829.303244757466,18468.158790573943,2025-02-13T14:56:09.663Z
Glenn Osinski,37602,2025-03-05T14:41:32.749Z,Naomi Kilback DDS,2025-03-06T17:56:23.661Z,Roberta Pollich,1,775.8417607168667,11995.664355996996,2024-03-26T07:03:08.102Z
Maryann Stiedemann,76369,2024-07-16T13:04:56.740Z,Celia Hessel,2024-03-29T01:05:37.981Z,Ted Okuneva,2,1013.4448140393943,2840.459793189075,2024-11-01T14:55:36.073Z
Herbert Ernser,46648,2025-03-12T21:41:32.748Z,Kevin Satterfield,2024-11-14T17:17:08.222Z,Cathy Gutkowski,1,1289.419083634857,15968.95624451572,2024-07-05T11:06:28.719Z
Alyssa McCullough,16286,2024-09-29T04:22:14.090Z,Sonja Pacocha,2024-04-02T05:49:44.465Z,Dr. Terrance White,4,840.3329414431937,11522.185709967744,2024-09-16T09:35:32.903Z
Dr. Sherman Thiel,67794,2024-08-08T16:37:55.031Z,Gayle Watsica,2025-02-27T08:19:58.954Z,Preston Kshlerin,6,945.7449018140323,17165.444922540337,2024-07-21T23:21:03.195Z
Mable Daniel,61209,2024-08-24T17:52:00.194Z,Rogelio Bahringer,2024-07-29T07:12:53.666Z,Mike Abshire,1,626.1848882772028,19245.78505982645,2024-11-08T04:00:44.552Z
Crystal Heller Sr.,75843,2024-07-26T21:37:57.236Z,Erica Lehner,2024-09-12T06:01:08.696Z,Ms. Terri Hammes,2,631.4585352200083,5311.13506660331,2024-06-29T12:17:07.640Z
Jennifer Reinger,15433,2024-06-22T15:45:53.045Z,Maxine Hansen III,2024-12-21T02:54:57.973Z,Geraldine O'Hara,4,1238.6806312017143,5575.186098809354,2025-03-20T20:56:27.295Z
Guadalupe Stracke-Fadel,72781,2024-06-05T19:28:14.365Z,Byron Schneider,2024-06-10T17:27:45.551Z,Justin Bauch,9,315.6502580852248,2151.6863074619323,2024-07-19T02:33:58.436Z
Amelia Lockman,79812,2024-10-09T22:43:08.821Z,Daryl Nitzsche,2024-12-29T10:28:38.378Z,Alfonso Moore,4,597.6933380123228,7281.901876733173,2025-01-27T11:30:43.510Z
Mr. Warren Gusikowski,34605,2025-01-13T06:36:25.675Z,Mr. Archie Bailey I,2024-07-18T04:19:32.029Z,Laura Mante,3,1811.9143506628461,3882.4355154763907,2025-03-21T07:32:41.433Z
Judith McGlynn,81694,2024-04-23T05:47:29.611Z,Dixie Cassin,2024-10-17T04:00:31.530Z,Frankie Kohler,3,72.80298692639917,1639.1619162168354,2024-10-09T00:25:16.456Z
Ms. Judith Orn,76495,2025-01-28T15:29:40.354Z,Casey Heaney V,2024-10-24T10:38:34.490Z,Dr. Lorenzo Ziemann-Tremblay,9,362.9181253956631,8552.460498677101,2024-07-18T20:17:11.688Z
Whitney Cole-Ondricka,22408,2024-08-31T20:43:55.494Z,Casey Franey,2024-06-14T10:30:18.669Z,Randall Auer,7,479.9553415039554,3145.011877291836,2024-09-15T09:15:55.879Z
Mr. Edmond Gottlieb III,83937,2025-01-17T06:30:03.171Z,Jesse Dach,2024-10-09T12:32:23.784Z,Craig Hirthe DDS,3,1648.6137505387887,3258.9965708903037,2024-05-16T02:21:44.342Z
Ida Schmitt,19881,2024-10-02T12:01:16.225Z,Anna Schaden,2024-09-28T22:50:49.071Z,Cassandra Heidenreich,7,558.9781659073196,4267.305099626537,2025-03-21T04:38:22.885Z
Annie Dibbert,76349,2024-11-18T00:11:19.153Z,Whitney Labadie,2024-06-13T05:12:37.293Z,Dwayne Douglas-Weimann,3,1119.1305310698226,13785.615748958662,2024-08-27T17:17:50.096Z
Linda Kuphal III,13316,2024-09-07T03:56:47.247Z,Donald Adams,2024-09-02T09:13:12.895Z,Jean Hickle,2,314.49000424472615,9482.482457475271,2024-04-13T21:57:59.743Z
Mr. Eddie Wunsch II,94969,2024-05-15T07:40:18.651Z,Tommie D'Amore,2024-08-06T08:45:26.319Z,Billie Schultz Jr.,10,217.21727146068588,17492.524035368115,2024-11-02T05:52:18.588Z
Domingo Carroll III,64309,2025-03-01T11:37:34.533Z,Raquel Morissette,2024-05-02T22:13:31.850Z,Nina Dooley,5,1266.1375149386004,15759.650236042216,2025-01-25T15:10:51.939Z
Steve Cartwright,45972,2024-09-07T00:54:06.962Z,Mr. Emanuel Schaden,2024-04-29T21:14:13.675Z,Owen Keebler,7,783.465379406698,5054.871347430162,2024-04-24T15:10:57.216Z
Tommy Hamill,87943,2024-11-29T23:23:03.417Z,Rudy Renner,2024-07-28T17:29:37.080Z,Keith Wiza,9,1713.1754791247658,6756.064449518453,2024-11-16T19:25:33.228Z
Mrs. Josephine Prosacco,67493,2024-11-25T12:17:21.755Z,Joel Fritsch,2024-07-04T22:53:24.288Z,Travis Gleason V,8,1105.3313393029384,13107.001781708095,2024-08-24T20:13:08.348Z
Francisco Braun,4783,2025-03-19T00:58:45.313Z,Melody Schoen PhD,2025-01-24T01:44:40.922Z,Ethel Bartell,5,1199.2706168210134,14173.46181680914,2025-01-16T21:57:57.462Z
Rose Padberg,27072,2025-03-02T07:40:31.240Z,Fernando Borer,2024-04-16T07:29:01.991Z,Dana Schaden,5,913.4116216213442,11520.84260256961,2024-09-30T03:38:29.659Z
Tonya Cremin,75951,2024-09-10T06:13:03.320Z,Angelica Feeney MD,2024-05-27T02:22:45.993Z,Ms. Camille Littel,6,1899.4322265614755,13568.375219020527,2024-06-17T12:25:04.862Z
Ethel Hills,38392,2025-02-21T06:32:11.306Z,Dr. Delbert Hilll,2024-09-24T13:09:10.697Z,Cecelia Walsh,1,753.8788479054347,12717.815268028062,2024-06-13T04:54:48.337Z
Marian Bechtelar,57840,2024-04-20T13:11:03.079Z,Leon Rohan,2024-05-26T11:10:29.134Z,Mabel Schinner,10,1644.6001096628606,3461.4021957386285,2025-01-25T06:51:46.948Z
Timmy Kihn V,4800,2025-02-11T09:17:15.268Z,Iris Schmeler-Mills,2024-09-23T15:13:20.505Z,Tomas Hauck,1,611.5990795893595,11644.052813097369,2025-01-28T07:22:30.263Z
Miss Olive Stehr,44293,2025-02-16T06:56:16.240Z,Clyde Conroy DDS,2024-10-26T07:46:59.181Z,Misty Walter,6,175.3650085418485,13570.140205940697,2024-11-03T12:14:50.016Z
Gordon Hintz,29417,2024-11-28T15:43:24.818Z,Mike Heathcote,2024-09-16T06:43:33.645Z,Gary Bergstrom,10,1020.2487790607847,4088.2203569752164,2024-11-11T09:47:14.688Z
Agnes Dickinson,92830,2025-03-21T00:25:43.986Z,Irene Moen-Macejkovic,2024-11-01T16:20:11.986Z,Dominic Towne,10,1332.3983148438856,4325.2368198824115,2024-09-05T20:31:37.127Z
Melinda Kuhic Jr.,34767,2024-12-17T00:50:17.192Z,Laurence Homenick PhD,2024-11-16T10:32:56.313Z,Elbert Rice,2,1842.500733549241,10167.990467965137,2024-09-30T00:19:07.969Z
Carole Boyle,70848,2024-07-05T22:03:55.858Z,Sabrina Kuhic,2024-10-12T15:55:47.003Z,Zachary Jenkins,1,1723.2054824242368,384.57538589136675,2024-10-01T22:33:37.121Z
Billy Runte,76839,2024-09-22T10:14:32.275Z,Jana Gerhold Jr.,2024-10-16T23:21:57.928Z,Mrs. Jamie Gorczany,10,1018.6989926151,1298.2073542894796,2024-05-02T11:15:53.981Z
Joan Hackett,47626,2024-05-21T00:42:23.736Z,Ms. Janet Wilkinson,2024-12-18T23:32:52.371Z,Shelley Koepp,3,1007.4768937076442,14690.754159656353,2024-08-22T10:48:06.101Z
Sylvester Parisian,56849,2024-11-07T13:52:14.133Z,Leslie O'Hara,2024-08-22T22:56:10.555Z,Melvin Pouros II,9,1275.7839169469662,18248.337607458234,2025-02-13T15:20:54.345Z
Elijah Parisian,74915,2024-09-04T09:40:56.572Z,Diane Stoltenberg,2025-03-02T07:10:34.433Z,Gilbert Rempel-Watsica,6,58.07529978919774,10240.50116003491,2024-12-27T11:42:30.071Z
Tammy Pacocha MD,55972,2024-07-26T20:25:22.750Z,Jeanne Herzog,2024-07-24T00:09:49.261Z,Douglas Hodkiewicz DDS,6,126.40483707655221,13089.172012766358,2025-01-31T18:30:11.743Z
Dr. Brandy Abbott,27868,2024-12-15T08:23:29.759Z,Mr. Alton Leuschke,2024-04-22T07:06:19.617Z,Lila Zulauf,3,445.059832604602,9345.741951733362,2024-06-26T10:08:27.824Z
Olga Olson DDS,6157,2024-07-22T16:56:23.767Z,Mrs. Belinda Heaney,2024-12-10T05:19:53.092Z,Dr. Tony Kris,3,917.5659727538005,11742.711507366039,2024-06-21T14:25:26.617Z
Joy Haley,50877,2024-10-16T17:38:38.442Z,Carrie Stroman,2024-07-01T16:35:06.408Z,Tim Quitzon,2,874.5324257994071,14059.580706071574,2024-07-06T00:05:40.944Z
Walter Fay,19155,2024-10-27T04:06:07.229Z,Dr. Cesar O'Connell,2024-05-22T07:14:45.784Z,Ms. Rose Pollich,3,503.37347661843523,15904.360769409686,2025-03-11T03:45:14.913Z
Marvin Cole,87752,2024-06-16T00:49:43.543Z,Chris Nikolaus,2024-04-30T00:23:25.408Z,Donna Witting,4,203.36636775173247,4160.785483464133,2024-12-04T15:36:21.630Z
Cheryl Rath,68016,2024-11-23T10:33:42.408Z,Frank Fadel,2025-01-13T05:40:48.572Z,Phyllis Gottlieb PhD,5,100.7008986431174,14411.484296899289,2024-04-17T20:30:13.509Z
Lee Willms,54293,2024-07-25T10:49:45.019Z,Glenn Armstrong,2025-02-26T02:08:48.156Z,Carolyn Rath,5,1184.8288935725577,8145.94938455848,2024-08-21T20:21:11.404Z
William McLaughlin V,94774,2025-01-31T05:45:02.543Z,Leo Upton,2024-08-01T23:33:45.968Z,Cindy Gorczany,1,158.1361165852286,16268.989366060123,2025-01-29T14:09:09.579Z
Dr. Glen Botsford MD,63214,2024-09-30T18:12:33.980Z,Dixie Price,2024-08-01T20:09:30.104Z,Maggie Hills,3,350.50309548387304,10802.1444649552,2024-08-15T17:36:53.039Z
Malcolm Lind,62248,2024-08-12T00:14:08.409Z,Roosevelt Mann,2025-03-05T20:30:53.970Z,Joyce Gislason,6,65.67783834179863,19279.60564426612,2025-03-07T10:38:26.651Z
Gayle Balistreri-Carter,39701,2024-06-09T19:51:40.194Z,Ivan Witting,2024-10-11T12:32:44.927Z,Irving Kerluke,7,806.3465330982581,14101.431712054182,2024-11-03T10:49:02.504Z
Jamie Walter,64726,2024-05-16T09:56:47.981Z,Terry Crona,2024-07-25T23:22:49.584Z,Emily King,9,417.7846126141958,8123.548527189996,2024-12-15T16:35:55.464Z
Randolph Okuneva II,36255,2024-09-24T02:38:59.697Z,Clifton Keeling,2024-09-26T02:56:02.454Z,Lauren McCullough,4,217.2712802886963,4459.258391649928,2024-08-23T13:06:56.001Z
Ebony Franecki,58283,2024-07-21T10:26:21.375Z,Bradley Shields,2024-11-14T09:02:51.335Z,Mr. Danny Legros Jr.,2,846.6068293200806,10731.407399452291,2025-02-23T21:03:40.903Z
Hazel Lang,71899,2025-03-23T01:52:10.909Z,Bert Feeney,2024-03-28T13:06:14.273Z,Dr. Krystal Bradtke,8,619.9701410136186,5556.208664283622,2024-11-29T14:05:25.166Z
Wayne Rowe,81613,2025-02-11T11:06:28.443Z,Annie Langworth,2024-06-15T08:39:04.158Z,Tamara Maggio,10,1627.827332308516,5414.678087586071,2024-03-29T20:33:38.984Z
Luz Thompson,11737,2024-05-14T10:04:04.827Z,Leo Gottlieb,2025-01-18T10:44:23.704Z,Lindsay Langworth,10,1589.8348783841357,2711.3568698288873,2024-12-07T09:21:09.359Z
Sherry Schulist,70708,2025-01-02T06:20:01.504Z,Jake Bednar,2025-01-15T20:08:50.645Z,Sandy Leffler,6,593.1936921435408,6373.6974783823825,2024-07-28T15:51:57.409Z
Justin White,49855,2024-05-08T15:17:26.670Z,Derek Kovacek,2024-07-01T13:49:09.160Z,Bradford Hammes,4,1167.0119688496925,7589.768212917261,2024-09-08T07:19:35.769Z
Christie Nolan,38067,2024-08-21T05:06:55.494Z,Ignacio Zulauf,2024-04-13T13:20:11.376Z,Barry Wolf,8,1099.0849218913354,5222.714985383209,2024-04-19T18:42:41.047Z
Geneva Koch,19297,2024-11-29T12:28:14.744Z,Mark Spencer,2024-12-08T18:54:26.776Z,Vicki White,9,471.36042427737266,13347.92011808604,2024-04-02T17:16:02.466Z
Maureen Leuschke,32118,2024-04-26T23:58:06.092Z,Louis Schiller DVM,2025-02-23T03:27:55.548Z,Judith Johnson,8,748.5995774739422,17532.248578115832,2024-05-19T01:52:19.549Z
Sherri Langworth,59268,2024-06-18T13:55:29.943Z,Dawn O'Conner,2025-03-15T05:47:02.098Z,Harold O'Conner PhD,3,614.1318796435371,5125.708275171928,2024-11-04T11:23:46.393Z
Damon Beatty,26598,2024-06-25T16:11:38.274Z,Dr. Felicia Doyle,2024-05-26T06:54:57.452Z,Darla Carroll,7,414.1817601863295,1649.6692362125032,2024-08-19T03:02:20.451Z
Vera Borer,29975,2025-02-18T10:00:25.249Z,Mr. Clarence Connelly,2024-08-20T19:11:05.565Z,Dewey Botsford,10,343.768379825633,8866.394858201966,2024-09-29T17:51:49.112Z
Dr. Allan Beahan,9777,2024-08-24T03:01:23.236Z,Jerry Pacocha,2025-03-08T02:49:18.858Z,Bruce Shields,8,1474.705556803383,4986.63339727791,2024-10-15T15:11:39.025Z
Sophia Wisoky,75324,2024-06-04T22:21:26.351Z,Stacy Cartwright,2024-04-17T08:26:30.385Z,Natasha McCullough,2,1010.4019046295434,17799.172933853697,2024-12-01T03:53:49.297Z
Caleb Deckow,61691,2024-08-30T18:08:49.130Z,Horace Lubowitz,2024-09-20T19:20:36.537Z,Sylvester Kassulke PhD,4,1947.7334995870478,11892.937368224375,2024-07-16T19:17:59.899Z
Jeanette Brown III,21414,2025-02-07T11:02:24.431Z,Kristin Bradtke-Abshire,2025-03-06T20:51:32.857Z,Shari Feeney,7,1225.7007503183559,8508.678680297453,2024-09-22T22:26:58.912Z
Harvey Walker,56899,2024-06-11T09:56:44.747Z,Sharon Keebler,2024-09-10T22:37:59.284Z,Mildred Ruecker,6,244.6647161268629,5181.880875106435,2025-01-04T12:50:10.418Z
Raquel Weber,89396,2024-12-19T22:16:27.753Z,Dr. Francisco Weissnat,2024-10-15T23:35:32.381Z,Brenda O'Hara,10,700.1747865579091,5080.447377148084,2024-12-09T02:24:51.799Z
Andrew Tillman,55564,2025-02-15T01:28:33.911Z,Krista Crona,2024-05-30T16:58:47.010Z,Brett Watsica,5,719.3971516797319,15451.01657381747,2024-09-09T01:16:49.809Z
Franklin Dickinson,78958,2024-07-08T09:08:33.160Z,Brad Abernathy,2025-03-23T05:12:48.995Z,Louise Waelchi,7,1594.053684885148,14746.529489126988,2025-03-10T13:58:32.729Z
Marion Sporer,64518,2024-12-14T20:56:11.867Z,Ramon Yundt-Homenick,2024-04-10T12:42:24.778Z,Ken Rogahn,6,409.8912140238099,9996.994780329987,2024-11-21T15:44:13.148Z
Dr. Adam Considine-Ferry,86130,2024-08-07T06:24:44.722Z,Hugo Beier,2024-11-20T00:11:57.104Z,Melissa Crona,4,840.4152320697904,16667.06697731279,2024-11-28T02:42:49.668Z
Louis Kub,59324,2024-10-26T22:55:00.944Z,Roy McCullough,2024-03-26T06:03:24.660Z,Irma Considine,3,1134.274292353075,16725.117636704817,2024-12-16T18:04:41.514Z
Angie Wilkinson,60628,2024-04-19T04:38:58.696Z,Barry Waelchi,2024-08-05T10:06:56.299Z,Courtney Bahringer,1,1366.9355463120155,9193.955101806205,2024-10-15T16:51:22.042Z
Eileen Kutch,59403,2024-07-25T02:55:44.047Z,Dr. Marcos Ullrich I,2024-07-31T12:02:43.960Z,Barry Spinka,2,1152.6357692782767,9243.51475823205,2024-12-26T23:53:05.933Z
Albert Rohan,31051,2024-05-25T07:59:29.804Z,Gregory Stroman,2024-04-10T22:25:09.694Z,Antonio Schneider,9,1061.2046821275726,9825.54897639202,2024-11-15T11:16:47.381Z
Delores Gorczany,7021,2025-03-22T18:49:05.084Z,Gabriel O'Reilly,2024-05-09T08:05:15.902Z,Kristy Pacocha,10,622.4782619159669,474.93141684681177,2024-12-17T03:36:56.638Z
Harriet Orn PhD,75281,2024-11-24T20:49:30.819Z,Lillie Gleichner,2024-06-05T06:34:18.534Z,Christie Beatty-Luettgen,4,1395.3496807604097,14291.403338534292,2024-06-10T07:51:05.114Z
Melissa Schowalter,97241,2024-11-17T03:58:12.984Z,Dr. Ross Franey,2024-12-06T14:12:36.482Z,Pamela Veum,9,1337.1242913766764,7644.027080014348,2024-06-23T18:23:18.549Z
Allen Hintz,4760,2025-01-16T14:29:16.247Z,Michael Fritsch,2024-10-13T17:54:34.682Z,Ada Cole IV,6,1148.1421573320404,8052.214731508866,2024-08-02T23:31:39.693Z
Mr. Randy Ruecker,51411,2024-11-30T06:16:52.157Z,Sally Prosacco,2025-02-09T22:31:53.031Z,Melinda Berge,4,1268.8639099244028,1392.651791474782,2025-03-09T04:40:51.892Z
Jenny Hand,56696,2024-08-09T15:35:32.270Z,Eva Hirthe,2024-11-28T19:25:00.370Z,Dr. Agnes Connelly,2,781.5074682468548,3120.8936578943394,2024-04-29T09:26:42.555Z
Doug Heathcote IV,32002,2024-12-17T01:42:37.678Z,Norma Toy,2025-01-15T14:01:42.486Z,Elias Fritsch,9,701.9380408339202,6790.439782885369,2024-06-10T12:31:38.644Z
Dr. Glenda Bednar,12058,2025-03-15T22:05:07.085Z,Teri Gislason,2024-11-08T16:12:46.663Z,Gregg Larson MD,8,1691.5029242052697,18138.456820358988,2025-03-15T16:46:42.468Z
Mrs. Jessica Stanton,65647,2024-10-14T00:57:41.311Z,Chris Purdy,2024-08-16T12:01:18.883Z,Henrietta Quitzon-Bins,4,1492.994219402317,5613.125416496769,2024-10-27T06:02:26.105Z
Carroll Huel,63409,2024-05-20T23:25:16.747Z,Josh Gusikowski,2025-03-15T06:02:45.949Z,Brandon Dietrich,6,1397.8205388993956,2610.1803177502006,2024-08-24T16:04:04.679Z
Elijah Gulgowski,73157,2024-12-24T19:33:34.926Z,Whitney Kiehn,2025-02-01T01:11:29.245Z,Carla Willms,10,1950.381604314316,3912.362150766421,2025-03-07T00:20:44.283Z
June Windler,29269,2024-10-07T08:22:48.214Z,Ora Harvey,2024-08-13T17:28:49.486Z,Dr. Otis Cruickshank DDS,5,1616.3931121933274,7009.100837958977,2024-11-16T01:09:09.580Z
Ms. Fannie Abbott DVM,64045,2024-07-27T06:46:55.639Z,Terrence Abernathy,2024-05-04T07:02:02.165Z,Corey Hermann,7,861.4802617928945,9733.40196525678,2024-04-16T07:23:07.786Z
Catherine Lind,53013,2024-08-15T11:38:07.904Z,Gabriel McClure,2024-04-02T10:01:10.574Z,Marion Bins,7,1012.886774726212,4231.527472636662,2024-04-08T16:34:19.230Z
Alan Runolfsson,37524,2024-11-21T02:28:16.615Z,Dr. Herbert Kulas,2024-11-30T15:31:51.835Z,Tammy Gutmann II,2,748.312974779401,19738.775140221696,2024-04-26T16:24:00.943Z
Doreen Beer,2443,2024-11-22T19:44:05.811Z,Brian Wilderman,2024-07-31T22:46:13.481Z,Marguerite Feest-Thompson,10,1653.1703232205473,13906.154065136798,2024-10-20T21:34:19.596Z
Brittany Tillman,15699,2025-02-21T03:55:22.617Z,Mrs. Susan Little,2024-03-29T11:59:41.363Z,Ray Fahey,5,927.2615682566538,1641.801123903133,2024-09-14T10:01:56.002Z
